2026-04-24 09:37: Experiment log path in: ./saved_models/NYSE/
2026-04-24 09:42: Train Epoch 49: 0/74 Loss: 0.070833
2026-04-24 09:42: Train Epoch 49: 20/74 Loss: 0.004918
2026-04-24 09:42: Train Epoch 49: 40/74 Loss: 0.008446
2026-04-24 09:42: Train Epoch 49: 60/74 Loss: 0.062420
2026-04-24 09:42: **********Train Epoch 49: averaged Loss: 0.032285
2026-04-24 09:42: **********Val Epoch 49: average Loss: 0.074417
2026-04-24 09:42: Train Epoch 50: 0/74 Loss: 0.058860
2026-04-24 09:42: Train Epoch 50: 20/74 Loss: 0.017220
2026-04-24 09:42: Train Epoch 50: 40/74 Loss: 0.027281
2026-04-24 09:42: Train Epoch 50: 60/74 Loss: 0.074550
2026-04-24 09:42: **********Train Epoch 50: averaged Loss: 0.032370
2026-04-24 09:42: **********Val Epoch 50: average Loss: 0.056702
2026-04-24 09:42: Train Epoch 51: 0/74 Loss: 0.029293
2026-04-24 09:42: Train Epoch 51: 20/74 Loss: 0.008111
2026-04-24 09:42: Train Epoch 51: 40/74 Loss: 0.012980
2026-04-24 09:42: Train Epoch 51: 60/74 Loss: 0.050003
2026-04-24 09:42: **********Train Epoch 51: averaged Loss: 0.026927
2026-04-24 09:42: **********Val Epoch 51: average Loss: 0.050653
2026-04-24 09:42: Train Epoch 52: 0/74 Loss: 0.046146
2026-04-24 09:42: Train Epoch 52: 20/74 Loss: 0.015702
2026-04-24 09:42: Train Epoch 52: 40/74 Loss: 0.019121
2026-04-24 09:42: Train Epoch 52: 60/74 Loss: 0.067797
2026-04-24 09:42: **********Train Epoch 52: averaged Loss: 0.025704
2026-04-24 09:42: **********Val Epoch 52: average Loss: 0.067228
2026-04-24 09:42: Train Epoch 53: 0/74 Loss: 0.004341
2026-04-24 09:42: Train Epoch 53: 20/74 Loss: 0.004878
2026-04-24 09:42: Train Epoch 53: 40/74 Loss: 0.044918
2026-04-24 09:43: Train Epoch 53: 60/74 Loss: 0.055674
2026-04-24 09:43: **********Train Epoch 53: averaged Loss: 0.025328
2026-04-24 09:43: **********Val Epoch 53: average Loss: 0.040061
2026-04-24 09:43: Train Epoch 54: 0/74 Loss: 0.016440
2026-04-24 09:43: Train Epoch 54: 20/74 Loss: 0.008910
2026-04-24 09:43: Train Epoch 54: 40/74 Loss: 0.009138
2026-04-24 09:43: Train Epoch 54: 60/74 Loss: 0.022303
2026-04-24 09:43: **********Train Epoch 54: averaged Loss: 0.021116
2026-04-24 09:43: **********Val Epoch 54: average Loss: 0.025703
2026-04-24 09:43: Train Epoch 55: 0/74 Loss: 0.023145
2026-04-24 09:43: Train Epoch 55: 20/74 Loss: 0.009478
2026-04-24 09:43: Train Epoch 55: 40/74 Loss: 0.007690
2026-04-24 09:43: Train Epoch 55: 60/74 Loss: 0.047513
2026-04-24 09:43: **********Train Epoch 55: averaged Loss: 0.027956
2026-04-24 09:43: **********Val Epoch 55: average Loss: 0.060309
2026-04-24 09:43: Train Epoch 56: 0/74 Loss: 0.129060
2026-04-24 09:43: Train Epoch 56: 20/74 Loss: 0.004669
2026-04-24 09:43: Train Epoch 56: 40/74 Loss: 0.009121
2026-04-24 09:43: Train Epoch 56: 60/74 Loss: 0.041266
2026-04-24 09:43: **********Train Epoch 56: averaged Loss: 0.037039
2026-04-24 09:43: **********Val Epoch 56: average Loss: 0.032583
2026-04-24 09:43: Train Epoch 57: 0/74 Loss: 0.030207
2026-04-24 09:43: Train Epoch 57: 20/74 Loss: 0.016035
2026-04-24 09:43: Train Epoch 57: 40/74 Loss: 0.007748
2026-04-24 09:43: Train Epoch 57: 60/74 Loss: 0.049249
2026-04-24 09:43: **********Train Epoch 57: averaged Loss: 0.028039
2026-04-24 09:43: **********Val Epoch 57: average Loss: 0.073317
2026-04-24 09:43: Train Epoch 58: 0/74 Loss: 0.105632
2026-04-24 09:43: Train Epoch 58: 20/74 Loss: 0.031288
2026-04-24 09:43: Train Epoch 58: 40/74 Loss: 0.020653
2026-04-24 09:43: Train Epoch 58: 60/74 Loss: 0.045880
2026-04-24 09:43: **********Train Epoch 58: averaged Loss: 0.034934
2026-04-24 09:43: **********Val Epoch 58: average Loss: 0.052661
2026-04-24 09:43: Train Epoch 59: 0/74 Loss: 0.022715
2026-04-24 09:43: Train Epoch 59: 20/74 Loss: 0.009421
2026-04-24 09:43: Train Epoch 59: 40/74 Loss: 0.019670
2026-04-24 09:43: Train Epoch 59: 60/74 Loss: 0.039273
2026-04-24 09:43: **********Train Epoch 59: averaged Loss: 0.024802
2026-04-24 09:43: **********Val Epoch 59: average Loss: 0.054744
2026-04-24 09:43: Train Epoch 60: 0/74 Loss: 0.030821
2026-04-24 09:43: Train Epoch 60: 20/74 Loss: 0.014431
2026-04-24 09:43: Train Epoch 60: 40/74 Loss: 0.023462
2026-04-24 09:43: Train Epoch 60: 60/74 Loss: 0.042825
2026-04-24 09:43: **********Train Epoch 60: averaged Loss: 0.025573
2026-04-24 09:43: **********Val Epoch 60: average Loss: 0.035746
2026-04-24 09:43: Train Epoch 61: 0/74 Loss: 0.054925
2026-04-24 09:43: Train Epoch 61: 20/74 Loss: 0.013085
2026-04-24 09:43: Train Epoch 61: 40/74 Loss: 0.016322
2026-04-24 09:43: Train Epoch 61: 60/74 Loss: 0.042959
2026-04-24 09:43: **********Train Epoch 61: averaged Loss: 0.026820
2026-04-24 09:43: **********Val Epoch 61: average Loss: 0.042111
2026-04-24 09:43: Train Epoch 62: 0/74 Loss: 0.067648
2026-04-24 09:43: Train Epoch 62: 20/74 Loss: 0.011465
2026-04-24 09:43: Train Epoch 62: 40/74 Loss: 0.021272
2026-04-24 09:44: Train Epoch 62: 60/74 Loss: 0.037735
2026-04-24 09:44: **********Train Epoch 62: averaged Loss: 0.031807
2026-04-24 09:44: **********Val Epoch 62: average Loss: 0.050830
2026-04-24 09:44: Train Epoch 63: 0/74 Loss: 0.040888
2026-04-24 09:44: Train Epoch 63: 20/74 Loss: 0.019930
2026-04-24 09:44: Train Epoch 63: 40/74 Loss: 0.008977
2026-04-24 09:44: Train Epoch 63: 60/74 Loss: 0.041513
2026-04-24 09:44: **********Train Epoch 63: averaged Loss: 0.025785
2026-04-24 09:44: **********Val Epoch 63: average Loss: 0.017138
2026-04-24 09:44: Train Epoch 64: 0/74 Loss: 0.013787
2026-04-24 09:44: Train Epoch 64: 20/74 Loss: 0.005216
2026-04-24 09:44: Train Epoch 64: 40/74 Loss: 0.008925
2026-04-24 09:44: Train Epoch 64: 60/74 Loss: 0.059797
2026-04-24 09:44: **********Train Epoch 64: averaged Loss: 0.029467
2026-04-24 09:44: **********Val Epoch 64: average Loss: 0.050688
2026-04-24 09:44: Train Epoch 65: 0/74 Loss: 0.124778
2026-04-24 09:44: Train Epoch 65: 20/74 Loss: 0.020638
2026-04-24 09:44: Train Epoch 65: 40/74 Loss: 0.009224
