2026-04-20 21:33: Experiment log path in: ./saved_models/DJIA/
2026-04-20 21:35: **********Val Epoch 57: average Loss: 0.023516
2026-04-20 21:35: Train Epoch 58: 0/37 Loss: 0.099367
2026-04-20 21:35: Train Epoch 58: 20/37 Loss: 0.007915
2026-04-20 21:35: **********Train Epoch 58: averaged Loss: 0.035454
2026-04-20 21:35: **********Val Epoch 58: average Loss: 0.028238
2026-04-20 21:35: Train Epoch 59: 0/37 Loss: 0.165055
2026-04-20 21:35: Train Epoch 59: 20/37 Loss: 0.032191
2026-04-20 21:35: **********Train Epoch 59: averaged Loss: 0.045931
2026-04-20 21:35: **********Val Epoch 59: average Loss: 0.043066
2026-04-20 21:35: Train Epoch 60: 0/37 Loss: 0.201792
2026-04-20 21:35: Train Epoch 60: 20/37 Loss: 0.114466
2026-04-20 21:35: **********Train Epoch 60: averaged Loss: 0.077418
2026-04-20 21:35: **********Val Epoch 60: average Loss: 0.048992
2026-04-20 21:35: Train Epoch 61: 0/37 Loss: 0.129112
2026-04-20 21:35: Train Epoch 61: 20/37 Loss: 0.058562
2026-04-20 21:35: **********Train Epoch 61: averaged Loss: 0.053315
2026-04-20 21:35: **********Val Epoch 61: average Loss: 0.034338
2026-04-20 21:35: Train Epoch 62: 0/37 Loss: 0.232809
2026-04-20 21:35: Train Epoch 62: 20/37 Loss: 0.148152
2026-04-20 21:35: **********Train Epoch 62: averaged Loss: 0.103628
2026-04-20 21:35: **********Val Epoch 62: average Loss: 0.061199
2026-04-20 21:35: Train Epoch 63: 0/37 Loss: 0.188355
2026-04-20 21:35: Train Epoch 63: 20/37 Loss: 0.049938
2026-04-20 21:35: **********Train Epoch 63: averaged Loss: 0.055465
2026-04-20 21:35: **********Val Epoch 63: average Loss: 0.018956
2026-04-20 21:35: Train Epoch 64: 0/37 Loss: 0.155957
2026-04-20 21:35: Train Epoch 64: 20/37 Loss: 0.009044
2026-04-20 21:35: **********Train Epoch 64: averaged Loss: 0.049488
2026-04-20 21:35: **********Val Epoch 64: average Loss: 0.015155
2026-04-20 21:35: Train Epoch 65: 0/37 Loss: 0.054621
2026-04-20 21:35: Train Epoch 65: 20/37 Loss: 0.041750
2026-04-20 21:35: **********Train Epoch 65: averaged Loss: 0.035994
2026-04-20 21:35: **********Val Epoch 65: average Loss: 0.055842
2026-04-20 21:35: Train Epoch 66: 0/37 Loss: 0.010547
2026-04-20 21:35: Train Epoch 66: 20/37 Loss: 0.008788
2026-04-20 21:35: **********Train Epoch 66: averaged Loss: 0.025100
2026-04-20 21:35: **********Val Epoch 66: average Loss: 0.038446
2026-04-20 21:35: Train Epoch 67: 0/37 Loss: 0.048252
2026-04-20 21:35: Train Epoch 67: 20/37 Loss: 0.022730
2026-04-20 21:35: **********Train Epoch 67: averaged Loss: 0.023375
2026-04-20 21:35: **********Val Epoch 67: average Loss: 0.042679
2026-04-20 21:35: Train Epoch 68: 0/37 Loss: 0.004583
2026-04-20 21:35: Train Epoch 68: 20/37 Loss: 0.037306
2026-04-20 21:35: **********Train Epoch 68: averaged Loss: 0.028996
2026-04-20 21:35: **********Val Epoch 68: average Loss: 0.023837
2026-04-20 21:35: Train Epoch 69: 0/37 Loss: 0.016432
2026-04-20 21:35: Train Epoch 69: 20/37 Loss: 0.057414
2026-04-20 21:35: **********Train Epoch 69: averaged Loss: 0.023387
2026-04-20 21:35: **********Val Epoch 69: average Loss: 0.030540
2026-04-20 21:35: Train Epoch 70: 0/37 Loss: 0.030074
2026-04-20 21:35: Train Epoch 70: 20/37 Loss: 0.008489
2026-04-20 21:35: **********Train Epoch 70: averaged Loss: 0.031348
2026-04-20 21:35: **********Val Epoch 70: average Loss: 0.024874
2026-04-20 21:35: Train Epoch 71: 0/37 Loss: 0.074288
2026-04-20 21:35: Train Epoch 71: 20/37 Loss: 0.006820
2026-04-20 21:35: **********Train Epoch 71: averaged Loss: 0.041513
