2026-05-20 13:49: Experiment log path in: /root/data-tmp/zzh/SAMBA/SAMBA/saved_models/002129SZ_BASIC/
2026-05-20 13:51: **********Val Epoch 37: average Loss: 0.190462
2026-05-20 13:51: Train Epoch 38: 0/71 Loss: 0.080699
2026-05-20 13:51: Train Epoch 38: 20/71 Loss: 0.007850
2026-05-20 13:51: Train Epoch 38: 40/71 Loss: 0.163911
2026-05-20 13:51: Train Epoch 38: 60/71 Loss: 0.042414
2026-05-20 13:51: **********Train Epoch 38: averaged Loss: 0.075010
2026-05-20 13:51: **********Val Epoch 38: average Loss: 0.161288
2026-05-20 13:51: Train Epoch 39: 0/71 Loss: 0.091141
2026-05-20 13:51: Train Epoch 39: 20/71 Loss: 0.026726
2026-05-20 13:51: Train Epoch 39: 40/71 Loss: 0.178809
2026-05-20 13:51: Train Epoch 39: 60/71 Loss: 0.039382
2026-05-20 13:51: **********Train Epoch 39: averaged Loss: 0.083549
2026-05-20 13:51: **********Val Epoch 39: average Loss: 0.229673
2026-05-20 13:51: Train Epoch 40: 0/71 Loss: 0.064213
2026-05-20 13:51: Train Epoch 40: 20/71 Loss: 0.025446
2026-05-20 13:52: Train Epoch 40: 40/71 Loss: 0.102015
2026-05-20 13:52: Train Epoch 40: 60/71 Loss: 0.142895
2026-05-20 13:52: **********Train Epoch 40: averaged Loss: 0.084292
2026-05-20 13:52: **********Val Epoch 40: average Loss: 0.248838
2026-05-20 13:52: Train Epoch 41: 0/71 Loss: 0.046700
2026-05-20 13:52: Train Epoch 41: 20/71 Loss: 0.051684
2026-05-20 13:52: Train Epoch 41: 40/71 Loss: 0.112511
2026-05-20 13:52: Train Epoch 41: 60/71 Loss: 0.070044
2026-05-20 13:52: **********Train Epoch 41: averaged Loss: 0.079486
2026-05-20 13:52: **********Val Epoch 41: average Loss: 0.227627
2026-05-20 13:52: Train Epoch 42: 0/71 Loss: 0.048526
2026-05-20 13:52: Train Epoch 42: 20/71 Loss: 0.003193
2026-05-20 13:52: Train Epoch 42: 40/71 Loss: 0.139422
