2026-05-18 10:48: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_82/
2026-05-18 10:50: Train Epoch 36: 40/74 Loss: 0.013491
2026-05-18 10:50: Train Epoch 36: 60/74 Loss: 0.061503
2026-05-18 10:50: **********Train Epoch 36: averaged Loss: 0.106372
2026-05-18 10:50: **********Val Epoch 36: average Loss: 0.238357
2026-05-18 10:50: Train Epoch 37: 0/74 Loss: 0.327861
2026-05-18 10:50: Train Epoch 37: 20/74 Loss: 0.004879
2026-05-18 10:50: Train Epoch 37: 40/74 Loss: 0.025171
2026-05-18 10:50: Train Epoch 37: 60/74 Loss: 0.070609
2026-05-18 10:50: **********Train Epoch 37: averaged Loss: 0.102655
2026-05-18 10:50: **********Val Epoch 37: average Loss: 0.209366
2026-05-18 10:50: Train Epoch 38: 0/74 Loss: 0.331897
2026-05-18 10:50: Train Epoch 38: 20/74 Loss: 0.022085
2026-05-18 10:50: Train Epoch 38: 40/74 Loss: 0.047970
2026-05-18 10:50: Train Epoch 38: 60/74 Loss: 0.066414
2026-05-18 10:50: **********Train Epoch 38: averaged Loss: 0.098274
2026-05-18 10:50: **********Val Epoch 38: average Loss: 0.217809
2026-05-18 10:50: Train Epoch 39: 0/74 Loss: 0.309190
2026-05-18 10:50: Train Epoch 39: 20/74 Loss: 0.008902
2026-05-18 10:50: Train Epoch 39: 40/74 Loss: 0.027612
2026-05-18 10:50: Train Epoch 39: 60/74 Loss: 0.040079
2026-05-18 10:50: **********Train Epoch 39: averaged Loss: 0.096281
2026-05-18 10:50: **********Val Epoch 39: average Loss: 0.216429
2026-05-18 10:50: Train Epoch 40: 0/74 Loss: 0.347155
2026-05-18 10:50: Train Epoch 40: 20/74 Loss: 0.011401
2026-05-18 10:50: Train Epoch 40: 40/74 Loss: 0.028873
2026-05-18 10:50: Train Epoch 40: 60/74 Loss: 0.048429
2026-05-18 10:50: **********Train Epoch 40: averaged Loss: 0.100265
2026-05-18 10:50: **********Val Epoch 40: average Loss: 0.215554
2026-05-18 10:50: Train Epoch 41: 0/74 Loss: 0.315734
2026-05-18 10:50: Train Epoch 41: 20/74 Loss: 0.019913
2026-05-18 10:50: Train Epoch 41: 40/74 Loss: 0.022017
2026-05-18 10:50: Train Epoch 41: 60/74 Loss: 0.098612
2026-05-18 10:50: **********Train Epoch 41: averaged Loss: 0.100682
2026-05-18 10:50: **********Val Epoch 41: average Loss: 0.224633
2026-05-18 10:50: Train Epoch 42: 0/74 Loss: 0.316065
2026-05-18 10:50: Train Epoch 42: 20/74 Loss: 0.027580
2026-05-18 10:50: Train Epoch 42: 40/74 Loss: 0.034719
2026-05-18 10:50: Train Epoch 42: 60/74 Loss: 0.055201
2026-05-18 10:50: **********Train Epoch 42: averaged Loss: 0.100048
2026-05-18 10:50: **********Val Epoch 42: average Loss: 0.211967
2026-05-18 10:50: Train Epoch 43: 0/74 Loss: 0.317971
2026-05-18 10:50: Train Epoch 43: 20/74 Loss: 0.006968
2026-05-18 10:50: Train Epoch 43: 40/74 Loss: 0.041298
2026-05-18 10:50: Train Epoch 43: 60/74 Loss: 0.070388
2026-05-18 10:50: **********Train Epoch 43: averaged Loss: 0.096842
2026-05-18 10:50: **********Val Epoch 43: average Loss: 0.234256
2026-05-18 10:50: Train Epoch 44: 0/74 Loss: 0.325359
2026-05-18 10:50: Train Epoch 44: 20/74 Loss: 0.009753
2026-05-18 10:50: Train Epoch 44: 40/74 Loss: 0.027391
2026-05-18 10:50: Train Epoch 44: 60/74 Loss: 0.026395
2026-05-18 10:50: **********Train Epoch 44: averaged Loss: 0.094905
2026-05-18 10:50: **********Val Epoch 44: average Loss: 0.190696
2026-05-18 10:50: Train Epoch 45: 0/74 Loss: 0.313947
2026-05-18 10:50: Train Epoch 45: 20/74 Loss: 0.078282
2026-05-18 10:51: Train Epoch 45: 40/74 Loss: 0.067411
2026-05-18 10:51: Train Epoch 45: 60/74 Loss: 0.051928
2026-05-18 10:51: **********Train Epoch 45: averaged Loss: 0.094390
2026-05-18 10:51: **********Val Epoch 45: average Loss: 0.218820
2026-05-18 10:51: Train Epoch 46: 0/74 Loss: 0.333998
2026-05-18 10:51: Train Epoch 46: 20/74 Loss: 0.035947
2026-05-18 10:51: Train Epoch 46: 40/74 Loss: 0.062996
2026-05-18 10:51: Train Epoch 46: 60/74 Loss: 0.062617
2026-05-18 10:51: **********Train Epoch 46: averaged Loss: 0.096561
2026-05-18 10:51: **********Val Epoch 46: average Loss: 0.180547
2026-05-18 10:51: Train Epoch 47: 0/74 Loss: 0.257874
2026-05-18 10:51: Train Epoch 47: 20/74 Loss: 0.140437
2026-05-18 10:51: Train Epoch 47: 40/74 Loss: 0.096289
2026-05-18 10:51: Train Epoch 47: 60/74 Loss: 0.010925
2026-05-18 10:51: **********Train Epoch 47: averaged Loss: 0.085907
2026-05-18 10:51: **********Val Epoch 47: average Loss: 0.172940
2026-05-18 10:51: Train Epoch 48: 0/74 Loss: 0.266105
2026-05-18 10:51: Train Epoch 48: 20/74 Loss: 0.051648
2026-05-18 10:51: Train Epoch 48: 40/74 Loss: 0.093096
2026-05-18 10:51: Train Epoch 48: 60/74 Loss: 0.091893
2026-05-18 10:51: **********Train Epoch 48: averaged Loss: 0.090301
2026-05-18 10:51: **********Val Epoch 48: average Loss: 0.199456
2026-05-18 10:51: Train Epoch 49: 0/74 Loss: 0.176714
2026-05-18 10:51: Train Epoch 49: 20/74 Loss: 0.067464
2026-05-18 10:51: Train Epoch 49: 40/74 Loss: 0.045212
2026-05-18 10:51: Train Epoch 49: 60/74 Loss: 0.010143
2026-05-18 10:51: **********Train Epoch 49: averaged Loss: 0.041901
2026-05-18 10:51: **********Val Epoch 49: average Loss: 0.139296
2026-05-18 10:51: Train Epoch 50: 0/74 Loss: 0.158892
2026-05-18 10:51: Train Epoch 50: 20/74 Loss: 0.071383
2026-05-18 10:51: Train Epoch 50: 40/74 Loss: 0.039819
2026-05-18 10:51: Train Epoch 50: 60/74 Loss: 0.011236
2026-05-18 10:51: **********Train Epoch 50: averaged Loss: 0.045611
2026-05-18 10:51: **********Val Epoch 50: average Loss: 0.146156
2026-05-18 10:51: Train Epoch 51: 0/74 Loss: 0.165933
2026-05-18 10:51: Train Epoch 51: 20/74 Loss: 0.028144
2026-05-18 10:51: Train Epoch 51: 40/74 Loss: 0.047878
2026-05-18 10:51: Train Epoch 51: 60/74 Loss: 0.010680
2026-05-18 10:51: **********Train Epoch 51: averaged Loss: 0.037731
2026-05-18 10:51: **********Val Epoch 51: average Loss: 0.158870
2026-05-18 10:51: Train Epoch 52: 0/74 Loss: 0.131754
2026-05-18 10:51: Train Epoch 52: 20/74 Loss: 0.041013
2026-05-18 10:51: Train Epoch 52: 40/74 Loss: 0.045707
2026-05-18 10:51: Train Epoch 52: 60/74 Loss: 0.009288
2026-05-18 10:51: **********Train Epoch 52: averaged Loss: 0.035170
2026-05-18 10:51: **********Val Epoch 52: average Loss: 0.139259
2026-05-18 10:51: Train Epoch 53: 0/74 Loss: 0.129844
2026-05-18 10:51: Train Epoch 53: 20/74 Loss: 0.039136
2026-05-18 10:51: Train Epoch 53: 40/74 Loss: 0.017937
2026-05-18 10:51: Train Epoch 53: 60/74 Loss: 0.043262
2026-05-18 10:51: **********Train Epoch 53: averaged Loss: 0.031018
2026-05-18 10:51: **********Val Epoch 53: average Loss: 0.142896
2026-05-18 10:51: Train Epoch 54: 0/74 Loss: 0.066286
2026-05-18 10:51: Train Epoch 54: 20/74 Loss: 0.014381
2026-05-18 10:51: Train Epoch 54: 40/74 Loss: 0.021738
2026-05-18 10:51: Train Epoch 54: 60/74 Loss: 0.024924
