2026-04-27 13:09: Experiment log path in: ./saved_models/NASDAQ/
2026-04-27 13:12: **********Val Epoch 47: average Loss: 0.047719
2026-04-27 13:12: Train Epoch 48: 0/74 Loss: 0.126174
2026-04-27 13:12: Train Epoch 48: 20/74 Loss: 0.035290
2026-04-27 13:12: Train Epoch 48: 40/74 Loss: 0.013141
2026-04-27 13:12: Train Epoch 48: 60/74 Loss: 0.041848
2026-04-27 13:12: **********Train Epoch 48: averaged Loss: 0.040208
2026-04-27 13:12: **********Val Epoch 48: average Loss: 0.060112
2026-04-27 13:12: Train Epoch 49: 0/74 Loss: 0.191478
2026-04-27 13:12: Train Epoch 49: 20/74 Loss: 0.003197
2026-04-27 13:12: Train Epoch 49: 40/74 Loss: 0.012138
2026-04-27 13:12: Train Epoch 49: 60/74 Loss: 0.024977
2026-04-27 13:12: **********Train Epoch 49: averaged Loss: 0.045351
2026-04-27 13:12: **********Val Epoch 49: average Loss: 0.032437
2026-04-27 13:12: Train Epoch 50: 0/74 Loss: 0.109659
2026-04-27 13:12: Train Epoch 50: 20/74 Loss: 0.028959
2026-04-27 13:12: Train Epoch 50: 40/74 Loss: 0.029459
2026-04-27 13:12: Train Epoch 50: 60/74 Loss: 0.028471
2026-04-27 13:12: **********Train Epoch 50: averaged Loss: 0.038204
2026-04-27 13:12: **********Val Epoch 50: average Loss: 0.121729
2026-04-27 13:12: Train Epoch 51: 0/74 Loss: 0.128498
2026-04-27 13:12: Train Epoch 51: 20/74 Loss: 0.013795
2026-04-27 13:12: Train Epoch 51: 40/74 Loss: 0.010367
2026-04-27 13:12: Train Epoch 51: 60/74 Loss: 0.040326
2026-04-27 13:12: **********Train Epoch 51: averaged Loss: 0.042302
2026-04-27 13:12: **********Val Epoch 51: average Loss: 0.105710
2026-04-27 13:12: Train Epoch 52: 0/74 Loss: 0.260642
2026-04-27 13:12: Train Epoch 52: 20/74 Loss: 0.056505
2026-04-27 13:12: Train Epoch 52: 40/74 Loss: 0.033272
2026-04-27 13:12: Train Epoch 52: 60/74 Loss: 0.052444
2026-04-27 13:12: **********Train Epoch 52: averaged Loss: 0.076921
2026-04-27 13:12: **********Val Epoch 52: average Loss: 0.025094
2026-04-27 13:12: Train Epoch 53: 0/74 Loss: 0.106739
2026-04-27 13:12: Train Epoch 53: 20/74 Loss: 0.051147
2026-04-27 13:13: Train Epoch 53: 40/74 Loss: 0.022059
2026-04-27 13:13: Train Epoch 53: 60/74 Loss: 0.014411
2026-04-27 13:13: **********Train Epoch 53: averaged Loss: 0.031837
2026-04-27 13:13: **********Val Epoch 53: average Loss: 0.100744
2026-04-27 13:13: Train Epoch 54: 0/74 Loss: 0.117550
2026-04-27 13:13: Train Epoch 54: 20/74 Loss: 0.028741
2026-04-27 13:13: Train Epoch 54: 40/74 Loss: 0.030885
2026-04-27 13:13: Train Epoch 54: 60/74 Loss: 0.044335
2026-04-27 13:13: **********Train Epoch 54: averaged Loss: 0.043220
2026-04-27 13:13: **********Val Epoch 54: average Loss: 0.025509
2026-04-27 13:13: Train Epoch 55: 0/74 Loss: 0.121640
2026-04-27 13:13: Train Epoch 55: 20/74 Loss: 0.012713
2026-04-27 13:13: Train Epoch 55: 40/74 Loss: 0.031596
2026-04-27 13:13: Train Epoch 55: 60/74 Loss: 0.005897
2026-04-27 13:13: **********Train Epoch 55: averaged Loss: 0.039538
2026-04-27 13:13: **********Val Epoch 55: average Loss: 0.085051
2026-04-27 13:13: Train Epoch 56: 0/74 Loss: 0.036180
2026-04-27 13:13: Train Epoch 56: 20/74 Loss: 0.006779
2026-04-27 13:13: Train Epoch 56: 40/74 Loss: 0.050014
2026-04-27 13:13: Train Epoch 56: 60/74 Loss: 0.039387
2026-04-27 13:13: **********Train Epoch 56: averaged Loss: 0.024433
2026-04-27 13:13: **********Val Epoch 56: average Loss: 0.013805
2026-04-27 13:13: *********************************Current best model saved!
2026-04-27 13:13: Train Epoch 57: 0/74 Loss: 0.174956
2026-04-27 13:13: Train Epoch 57: 20/74 Loss: 0.007017
2026-04-27 13:13: Train Epoch 57: 40/74 Loss: 0.035661
2026-04-27 13:13: Train Epoch 57: 60/74 Loss: 0.033502
2026-04-27 13:13: **********Train Epoch 57: averaged Loss: 0.048241
2026-04-27 13:13: **********Val Epoch 57: average Loss: 0.042407
2026-04-27 13:13: Train Epoch 58: 0/74 Loss: 0.140212
2026-04-27 13:13: Train Epoch 58: 20/74 Loss: 0.033680
2026-04-27 13:13: Train Epoch 58: 40/74 Loss: 0.012735
